external_id,address,permit_type,project_value,applicant,issue_date,description,source,city
26-011471-000-00 B7,13380 79 Ave,Fire Damage Repair,200000,,2026-04-15,Fire Damage Repair / Single Family,surrey,Surrey
26-015802-000-00 B7,15857 39A Ave,New,80000,,2026-04-15,New / Swimming Pool,surrey,Surrey
25-111985-000-00 B7,14721 111A Ave,New,200000,,2026-04-16,New / Garden Suite,surrey,Surrey
26-014120-000-00 B7,6247 134 St,Solar Panel Installation,20000,"604-GO-SOLAR Unit C130 6286 203 St Langley, British Columbia, Canada, V3A5E6",2026-04-16,Solar Panel Installation / Single Family,surrey,Surrey
26-016219-000-00 B7,16585 28 Ave,New,1060660,,2026-04-16,New / Single Family (Secondary Suite),surrey,Surrey
23-014882-000-00 B7,9156 125A St,New,700000,,2026-04-17,New / Single Family (Secondary Suite),surrey,Surrey
25-095955-000-00 B7,8942 134B St,New,800000,,2026-04-17,New / Single Family (Secondary Suite),surrey,Surrey
25-113977-000-00 B7,17326 27A Ave,New,70000,,2026-04-17,New / Swimming Pool,surrey,Surrey
25-118427-000-00 B7,9156 125A St,New,125000,,2026-04-17,New / Garden Suite,surrey,Surrey
25-119364-000-00 B7,17326 27A Ave,Addition,500000,"Wile Designs 2635 Granite Court Coquitlam, British Columbia, Canada, V3E 2T9",2026-04-17,Addition / Single Family,surrey,Surrey
25-119366-000-00 B7,17326 27A Ave,New,64750,"Wile Designs 2635 Granite Court Coquitlam, British Columbia, Canada, V3E 2T9",2026-04-17,New / Accessory Building,surrey,Surrey
25-131117-000-00 B7,13780 115 Ave,New,1000000,,2026-04-17,New / Single Family (Secondary Suite),surrey,Surrey
25-131121-000-00 B7,13780 115 Ave,New,200875,,2026-04-17,New / Garden Suite,surrey,Surrey
25-135484-000-00 B7,10888 129A St,New,1000000,,2026-04-17,New / Single Family (Secondary Suite),surrey,Surrey
25-115122-000-00 B7,3409 180 St,New,50000,,2026-04-19,New / Barn,surrey,Surrey
25-123082-000-00 B7,1545 161 St,New,900000,,2026-04-20,New / Duplex,surrey,Surrey
25-012147-000-00 B7,9572 125 St,New,750000,,2026-04-21,New / Single Family (Secondary Suite),surrey,Surrey
